"Facility.Name","Facility.City","Facility.State","Facility.Type","Rating.Overall","Rating.Mortality","Rating.Safety","Rating.Readmission","Rating.Experience","Rating.Effectiveness","Rating.Timeliness","Rating.Imaging","Procedure.Heart Attack.Cost","Procedure.Heart Attack.Quality","Procedure.Heart Attack.Value","Procedure.Heart Failure.Cost","Procedure.Heart Failure.Quality","Procedure.Heart Failure.Value","Procedure.Pneumonia.Cost","Procedure.Pneumonia.Quality","Procedure.Pneumonia.Value","Procedure.Hip Knee.Cost","Procedure.Hip Knee.Quality","Procedure.Hip Knee.Value"
"Mercy Medical Center-clinton","Clinton","Iowa","Private","4","Same","Above","Same","Same","Same","Above","Same","23292","Average","Average","17817","Average","Average","17529","Average","Average","23520","Average","Average"
"Iowa Methodist Medical Center","Des Moines","Iowa","Private","3","Below","Above","Above","Above","Below","Same","Same","21269","Average","Lower","16106","Average","Average","17063","Average","Average","18671","Average","Lower"
"Mercy Medical Center-des Moines","Des Moines","Iowa","Private","2","Below","Below","Above","Same","Same","Same","Above","22789","Average","Average","16261","Average","Average","16914","Average","Average","19506","Average","Lower"
"Ottumwa Regional Health Center","Ottumwa","Iowa","Proprietary","4","Same","Above","Above","Below","Same","Same","Below","25110","Average","Average","17755","Average","Average","19853","Average","Higher","21448","Average","Average"
"Broadlawns Medical Center","Des Moines","Iowa","Government","3","None","Same","Same","Same","Same","Below","Same","0","Unknown","Unknown","0","Unknown","Unknown","14595","Average","Lower","17911","Average","Lower"
"Unity Point Health Trinity","Bettendorf","Iowa","Private","3","Same","Above","Below","Same","Same","Same","Same","24109","Average","Average","16409","Average","Average","18850","Average","Average","17901","Average","Lower"
"Allen Hospital","Waterloo","Iowa","Private","3","Below","Above","Above","Above","Same","Above","Same","22350","Average","Average","17052","Worse","Average","17613","Average","Average","20629","Average","Lower"
"Spencer Municipal Hospital","Spencer","Iowa","Government","3","Same","Above","Same","Above","Same","Above","Below","0","Unknown","Unknown","15611","Average","Average","15272","Average","Lower","18948","Average","Lower"
"Finley Hospital","Dubuque","Iowa","Private","3","Same","Same","Same","Above","Same","Same","Same","23863","Average","Average","17304","Average","Average","17606","Average","Average","23485","Average","Higher"
"Fort Madison Community Hospital","Fort Madison","Iowa","Private","4","Same","Above","Above","Above","Same","Above","Below","0","Unknown","Unknown","15064","Average","Average","14348","Average","Lower","18588","Average","Lower"
"Lakes Regional Healthcare","Spirit Lake","Iowa","Unknown","4","Same","Same","Above","Above","Same","Above","Same","0","Unknown","Unknown","14540","Average","Average","14960","Average","Lower","19177","Average","Lower"
"St Lukes Regional Medical Center","Sioux City","Iowa","Private","2","Below","Below","Above","Same","Same","Same","Same","22256","Average","Average","16470","Worse","Average","17016","Worse","Average","19561","Average","Lower"
"Grinnell Regional Medical Center","Grinnell","Iowa","Private","4","Same","None","Above","Above","Same","Above","Same","0","Unknown","Unknown","14114","Average","Lower","16312","Average","Average","0","Unknown","Unknown"
"Mercy Medical Center-sioux City","Sioux City","Iowa","Private","1","Below","Below","Same","Below","Same","Same","Same","22122","Average","Average","16856","Average","Average","17194","Average","Average","21480","Average","Average"
"Baum Harmon Mercy Hospital","Primghar","Iowa","Church","4","None","None","Same","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Iowa Specialty Hospital - Belmond","Belmond","Iowa","Government","5","None","None","Same","Above","Same","Above","None","0","Unknown","Unknown","17749","Average","Average","20368","Average","Higher","0","Unknown","Unknown"
"Iowa Specialty Hospital-clarion","Clarion","Iowa","Government","3","None","None","Below","Above","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","15924","Average","Average","20097","Average","Lower"
"Grundy County Memorial Hospital","Grundy Center","Iowa","Unknown","3","None","None","Same","None","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","20007","Average","Lower"
"Chi Health  - Mercy Corning","Corning","Iowa","Private","4","Same","None","Above","None","Same","Above","None","0","Unknown","Unknown","16724","Average","Average","16018","Average","Average","0","Unknown","Unknown"
"Pocahontas Community Hospital","Pocahontas","Iowa","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown","0","Unknown","Unknown"
"Jones Regional Medical Center","Anamosa","Iowa","Private","4","Same","None","Above","None","Same","Same","Same","0","Unknown","Unknown","15667","Average","Average","19416","Average","Average","0","Unknown","Unknown"
"Hancock County Health System","Britt","Iowa","Unknown","3","Same","None","Above","None","Same","Above","Same","0","Unknown","Unknown","16454","Average","Average","17213","Average","Average","0","Unknown","Unknown"
"Franklin General Hospital","Hampton","Iowa","Government","3","None","None","Same","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","16806","Average","Average","0","Unknown","Unknown"
"Chi Health Missouri Valley","Missouri Valley","Iowa","Private","4","Same","None","Above","None","Same","Above","Same","0","Unknown","Unknown","17892","Average","Average","19397","Average","Average","0","Unknown","Unknown"
"Adair County Memorial Hospital","Greenfield","Iowa","Government","-1","None","None","None","None","None","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","15366","Average","Average","0","Unknown","Unknown"
"Hawarden Regional Healthcare","Hawarden","Iowa","Government","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","20495","Average","Average","0","Unknown","Unknown"
"Guttenberg Municipal Hospital","Guttenberg","Iowa","Government","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","19521","Average","Average","0","Unknown","Unknown"
"Genesis Medical Center-dewitt","Dewitt","Iowa","Private","4","None","None","Same","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","14908","Average","Lower","0","Unknown","Unknown"
"Guthrie County Hospital","Guthrie Center","Iowa","Government","3","None","None","Same","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","17312","Average","Average","18429","Average","Lower"
"Keokuk County Health Center","Sigourney","Iowa","Unknown","-1","None","None","None","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","19179","Average","Average","0","Unknown","Unknown"
"Gundersen Palmer Lutheran Hospital And Clinics","West Union","Iowa","Private","-1","None","None","Same","None","None","Same","None","0","Unknown","Unknown","18004","Average","Average","19239","Average","Average","0","Unknown","Unknown"
"Compass Memorial Healthcare","Marengo","Iowa","Unknown","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","21722","Average","Higher","23273","Average","Higher","0","Unknown","Unknown"
"Veterans Memorial Hospital","Waukon","Iowa","Government","5","Same","None","Same","Above","None","None","None","0","Unknown","Unknown","16498","Average","Average","18537","Average","Average","0","Unknown","Unknown"
"Central Community Hospital","Elkader","Iowa","Private","-1","None","None","None","None","Same","Above","None","0","Unknown","Unknown","0","Unknown","Unknown","19455","Average","Average","0","Unknown","Unknown"
"Community Memorial Hospital Medical Center","Sumner","Iowa","Private","4","None","None","Same","None","None","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","20753","Average","Higher","0","Unknown","Unknown"
"Sanford Rock Rapids Medical Center","Rock Rapids","Iowa","Private","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","19111","Average","Average","19733","Average","Average","0","Unknown","Unknown"
"Dallas County Hospital","Perry","Iowa","Unknown","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","18199","Average","Average","0","Unknown","Unknown"
"Mitchell County Regional Health","Osage","Iowa","Unknown","4","Same","None","Above","None","None","Same","Same","0","Unknown","Unknown","16646","Average","Average","15930","Average","Average","0","Unknown","Unknown"
"George C Grape Community Hospital","Hamburg","Iowa","Proprietary","-1","None","None","Same","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","24338","Average","Higher","0","Unknown","Unknown"
"Greene County Medical Center","Jefferson","Iowa","Government","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","16273","Average","Average","20387","Average","Average"
"Madison County Memorial Hospital","Winterset","Iowa","Government","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","14478","Average","Average","14869","Average","Lower","0","Unknown","Unknown"
"Davis County Hospital","Bloomfield","Iowa","Government","-1","Same","None","Same","None","None","None","None","0","Unknown","Unknown","16272","Average","Average","17287","Average","Average","22123","Average","Average"
"Regional Health Services Of Howard County","Cresco","Iowa","Unknown","3","None","None","Same","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","23224","Average","Higher","0","Unknown","Unknown"
"Jackson County Regional Health Center","Maquoketa","Iowa","Government","-1","None","None","None","None","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","17642","Average","Average","0","Unknown","Unknown"
"Audubon County Memorial Hospital","Audubon","Iowa","Government","-1","None","None","Same","None","None","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","21807","Average","Higher","0","Unknown","Unknown"
"Mercy Medical Center-new Hampton","New Hampton","Iowa","Church","-1","None","None","None","None","None","None","Same","0","Unknown","Unknown","0","Unknown","Unknown","19393","Average","Average","0","Unknown","Unknown"
"Manning Regional Healthcare Center","Manning","Iowa","Private","-1","None","None","None","None","Same","Same","None","0","Unknown","Unknown","0","Unknown","Unknown","19869","Average","Average","0","Unknown","Unknown"
"Story County Hospital","Nevada","Iowa","Government","-1","None","None","None","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","14801","Average","Lower","0","Unknown","Unknown"
"Humboldt County Memorial Hospital","Humboldt","Iowa","Unknown","-1","None","None","Same","None","None","Same","None","0","Unknown","Unknown","18042","Average","Average","18399","Average","Average","0","Unknown","Unknown"
"Buchanan County Health Center","Independence","Iowa","Unknown","-1","None","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","14918","Average","Lower","0","Unknown","Unknown"
"Hegg Memorial Health Center","Rock Valley","Iowa","Private","-1","None","None","None","None","Same","Above","Same","0","Unknown","Unknown","0","Unknown","Unknown","15302","Average","Average","0","Unknown","Unknown"
"Van Buren County Hospital","Keosauqua","Iowa","Government","-1","Same","None","Same","None","None","None","None","0","Unknown","Unknown","0","Unknown","Unknown","17546","Average","Average","0","Unknown","Unknown"
